outcome,neither,hedge_only,deny_only,both
warmth,1.6103464131715572,1.3083225410451367,1.1285393308539406,1.0489523761809685
valence,1.4397076817243997,1.0714733596813153,0.8989327598617484,0.8677989896483187
threat,0.23001855850360764,0.29104608749543637,0.28191166964344727,0.25399673915188176
isolation,0.2829614134433733,0.2984948220581704,0.1975936157649757,0.2010548641857806
decay,0.17324267270294694,0.2134585084869541,0.17475783357634575,0.12478799604300929
confinement,0.1504377954150934,0.1800170467455243,0.13921361324721435,0.12677449844033697
animacy,1.6803839523001625,1.7228040619379328,1.3384619457502092,1.3504288492925052
content,0.836660440065021,0.9830164647860848,0.7934767322319828,0.7066140978210083
darkness,-0.7736859731065358,-0.32530607625905145,-0.33506259862195736,-0.3423382783599594
